BCI_trees
Abarema_macradenia
Schizolobium_parahyba
Enterolobium_schomburgkii
Inga_acuminata
Inga_pezizifera
Inga_punctata
Inga_cocleensis
Inga_ruiziana
Inga_marginata
Inga_nobilis
Inga_oerstediana
Inga_thibaudiana
Inga_sapindoides
Inga_goldmanii
Inga_laurina
Inga_spectabilis
Inga_umbellifera
Cojoba_rufescens
Tachigali_versicolor
Vachellia_melanoceras
Senna_dariensis
Andira_inermis
Dipteryx_oleifera
Erythrina_costaricensis
Ormosia_amazonica
Lonchocarpus_heptaphyllus
Ormosia_coccinea
Ormosia_macrocalyx
Platymiscium_pinnatum
Platypodium_elegans
Pterocarpus_belizensis
Pterocarpus_rohrii
Myrospermum_frutescens
Swartzia_simplex_var_grandiflora
Swartzia_simplex_var_ochnacea
Brosimum_alicastrum
Brosimum_guianense
Ficus_bullenei
Ficus_citrifolia
Ficus_costaricana
Ficus_obtusifolia
Ficus_popenoei
Ficus_trigonata
Ficus_insipida
Ficus_yoponensis
Ficus_maxima
Ficus_tonduzii
Maquira_guianensis
Trophis_caucana
Poulsenia_armata
Perebea_xanthochyma
Sorocea_affinis
Trophis_racemosa
Cecropia_insignis
Cecropia_obtusifolia
Cecropia_longipes
Pourouma_bicolor
Urera_baccifera
Celtis_schippii
Trema_micrantha
Acalypha_diversifolia
Acalypha_macrostachya
Alchornea_latifolia
Adelia_triloba
Hura_crepitans
Sapium_broadleaf
Sapium_glandulosum
Croton_billbergianus
Hirtella_americana
Hirtella_triandra
Licania_hypoleuca
Licania_platypus
Cassipourea_elliptica
Erythroxylum_macrophyllum
Erythroxylum_panamense
Malpighia_romeroana
Spachea_membranacea
Calophyllum_longifolium
Chrysochlamys_eclipes
Garcinia_intermedia
Garcinia_madruno
Symphonia_globulifera
Vismia_baccifera
Vismia_billbergiana
Marila_laxiflora
Hasseltia_floribunda
Xylosma_oligandra
Casearia_aculeata
Casearia_guianensis
Casearia_sylvestris
Laetia_procera
Laetia_thamnia
Zuelania_guidonia
Casearia_arborea
Casearia_commersoniana
Tetrathylacium_johansenii
Lacistema_aggregatum
Lozania_pittieri
Cespedesia_spathulata
Ouratea_lucens
Hieronyma_alchorneoides
Margaritaria_nobilis
Lindackeria_laurina
Hybanthus_prunifolius
Rinorea_sylvatica
Maytenus_schippii
Sloanea_terniflora
Allophylus_psilospermus
Cupania_cinerea
Cupania_latifolia
Cupania_seemannii
Cupania_rufescens
Talisia_croatii
Cedrela_odorata
Guarea_fuzzy
Guarea_grandifolia
Guarea_guidonia
Trichilia_pallida
Trichilia_tuberculata
Zanthoxylum_ekmanii
Zanthoxylum_panamense
Zanthoxylum_setulosum
Zanthoxylum_juniperinum
Anacardium_excelsum
Astronium_graveolens
Spondias_mombin
Spondias_radlkoferi
Protium_confusum
Protium_costaricense
Protium_panamense
Protium_tenuifolium
Trattinnickia_aspera
Quassia_amara
Apeiba_membranacea
Apeiba_tibourbou
Luehea_seemannii
Guazuma_ulmifolia
Hampea_appendiculata
Herrania_purpurea
Theobroma_cacao
Cavanillesia_platanifolia
Ceiba_pentandra
Ochroma_pyramidale
Pseudobombax_septenatum
Pachira_quinata
Sterculia_apetala
Capparis_frondosa
Chamguava_schippii
Eugenia_coloradoensis
Eugenia_galalonensis
Eugenia_nesiotica
Eugenia_oerstediana
Myrcia_gatunensis
Psidium_friedrichsthalianum
Vochysia_ferruginea
Lafoensia_punicifolia
Clidemia_dentata
Clidemia_octona
Clidemia_septuplinervia
Miconia_dorsiloba
Miconia_elata
Miconia_impetiolaris
Miconia_nervosa
Miconia_argentea
Leandra_dichotoma
Miconia_affinis
Miconia_hondurensis
Conostegia_bracteata
Conostegia_cinnamomea
Mouriri_myrtilloides
Terminalia_amazonia
Terminalia_oblonga
Picramnia_latifolia
Turpinia_occidentalis
Aegiphila_panamensis
Jacaranda_copaia
Aphelandra_sinclairiana
Trichanthera_gigantea
Tabebuia_guayacan
Tabebuia_rosea
Solanum_asperum
Solanum_lepidotum
Solanum_circinatum
Solanum_hayesii
Alibertia_edulis
Borojoa_panamensis
Amaioua_corymbosa
Genipa_americana
Randia_armata
Rosenbergiodendron_formosum
Tocoyena_pittieri
Alseis_blackiana
Macrocnemum_roseum
Pentagonia_macrophylla
Posoqueria_latifolia
Chimarrhis_parviflora
Coutarea_hexandra
Coussarea_curvigemmia
Faramea_occidentalis
Morinda_seibertii
Palicourea_guianensis
Psychotria_acuminata
Psychotria_racemosa
Psychotria_cyanococca
Psychotria_deflexa
Psychotria_chagrensis
Psychotria_psychotriifolia
Psychotria_tenuifolia
Psychotria_limonensis
Psychotria_grandis
Psychotria_graciliflora
Psychotria_marginata
Psychotria_horizontalis
Guettarda_foliacea
Hamelia_axillaris
Hamelia_patens
Aspidosperma_spruceanum
Lacmella_panamensis
Rauvolfia_littoralis
Stemmadenia_grandiflora
Tabernaemontana_arborea
Thevetia_ahouai
Cordia_alliodora
Cordia_bicolor
Cordia_lasiocalyx
Dendropanax_arboreus
Ardisia_bartlettii
Ardisia_guianensis
Ardisia_standleyana
Stylogyne_turbacensis
Diospyros_artanthifolia
Gustavia_superba
Chrysophyllum_argenteum
Chrysophyllum_cainito
Pouteria_fossicola
Pouteria_stipitata
Pouteria_reticulata
Coccoloba_coronata
Coccoloba_manzinellensis
Triplaris_cumingiana
Guapira_standleyana
Neea_amplifolia
Heisteria_acuminata
Heisteria_concinna
Anaxagorea_panamensis
Annona_acuminata
Annona_spraguei
Guatteria_dumetorum
Desmopsis_panamensis
Mosannona_garwoodii
Unonopsis_pittieri
Virola_multiflora
Virola_sebifera
Virola_nobilis
Beilschmiedia_tovarensis
Cinnamomum_triplinerve
Nectandra_umbrosa
Ocotea_oblonga
Ocotea_cernua
Nectandra_fuzzy
Ocotea_puberula
Nectandra_lineata
Nectandra_cissiflora
Siparuna_guianensis
Siparuna_pauciflora
Astrocaryum_standleyanum
Oenocarpus_mapora
Attalea_rostrata
Chamaedorea_tepejilote
Elaeis_oleifera
Bactris_barronis
Bactris_major
Bactris_coloniata
Socratea_exorrhiza
Piper_aequale
Piper_arboreum
Piper_cordulatum
Piper_colonense
Piper_reticulatum
Piper_carrilloanum
Piper_perlasense
Ginkgo_biloba
